,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
LN* Baseline,0.9651622772216796,1.1070334911346436,1.06883442401886,0.6287708282470703,0.5575000047683716,0.5790000557899475
LN* W8A8-gelu-hsigmoid-ln,1.9636590480804443,1.975329875946045,1.951337814331055,0.292822927236557,0.2915000021457672,0.2895000278949737
LN* W8A8-gelu-sigmoid-ln,1.8070305585861208,1.8350496292114256,1.7978349924087524,0.3577187359333038,0.3505000174045563,0.3540000021457672
LN* W8A8-gelu-sigmoid-qln,1.823671579360962,1.8513003587722776,1.823188066482544,0.3500208258628845,0.3420000076293945,0.3460000157356262
LN* W8A8-qgelu-hsigmoid-qln,2.036272525787353,2.032975912094116,2.027060985565185,0.2701145708560943,0.2770000100135803,0.2665000259876251
LN* W8A8-qgelu-sigmoid-ln,1.835259795188904,1.853225946426392,1.816172957420349,0.344614565372467,0.3440000116825104,0.3550000190734863
