,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
LN* Baseline,0.0014201218727976,0.9282342195510864,,0.9999199509620668,0.8864799737930298,
LN* W8A8-gelu-hsigmoid-ln,0.0019035355653613,0.9073511362075806,,0.999839961528778,0.8852399587631226,
LN* W8A8-gelu-sigmoid-ln,0.0014832781162112,0.9197154641151428,,0.9999199509620668,0.8860799670219421,
LN* W8A8-gelu-sigmoid-qln,0.0015487712807953,0.9198176264762878,,0.9999599456787108,0.8854399919509888,
LN* W8A8-qgelu-hsigmoid-qln,0.0044598714448511,1.0312891006469729,,0.99864000082016,0.8849200010299683,
LN* W8A8-qgelu-sigmoid-ln,0.0022988535929471,1.0485774278640747,,0.9995200037956238,0.8846399784088135,
