,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
ptq_results_eval-ptq scifar-full-LN* Baseline,5.803732165077236e-06,0.7690891623497009,0.8204826712608337,1.0,0.865399956703186,0.8545999526977539
ptq_results_eval-ptq scifar-full-LN* W8A8-gelu-hsigmoid-ln,2.4499101638793945,2.8868534564971924,2.8936495780944824,0.4806666672229767,0.433599978685379,0.4364999830722809
ptq_results_eval-ptq scifar-full-LN* W8A8-gelu-sigmoid-ln,2.477165937423706,2.9060490131378174,2.933706521987915,0.4809333384037018,0.4307999908924103,0.4332999885082245
ptq_results_eval-ptq scifar-full-LN* W8A8-gelu-sigmoid-qln,2.478013515472412,2.9164953231811523,2.923786163330078,0.4806666672229767,0.4301999807357788,0.4350000023841858
ptq_results_eval-ptq scifar-full-LN* W8A8-qgelu-hsigmoid-qln,2.289321184158325,2.7386105060577397,2.726842164993286,0.4940888881683349,0.4369999766349792,0.4482999742031097
ptq_results_eval-ptq scifar-full-LN* W8A8-qgelu-sigmoid-ln,2.283669233322144,2.728442907333374,2.7318549156188965,0.4960444569587707,0.4405999779701233,0.4510999917984009
